"Contact Details","Chi tiết liên hệ"
"Test Mode","Chế độ dùng thử"
"Use Proxy","Sử dụng Proxy"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Basic Settings - PayPal Payments Advanced","Cài đặt cơ bản - nâng cao thanh toán PayPal"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Nó được khuyến khích để đặt giá trị này để ""ghi nợ hoặc thẻ tín dụng"" cho một cửa hàng."
"CVV Entry is Editable","CVV nhập là có thể chỉnh sửa"
"Require CVV Entry","Yêu cầu nhập cảnh CVV"
"Send Email Confirmation","Gửi Email xác nhận"
"URL method for Cancel URL and Return URL","Phương pháp hủy URL và hoàn tác URL"
"Payflow Link","Payflow Link"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)"
"Payflow Link and Express Checkout","Payflow liên kết và thanh toán Express"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Nếu bạn không có nhiều người dùng đã được thiết lập trên tài khoản của bạn, xin vui lòng nhập lại thông tin đăng nhập nhà cung cấp/thương gia ở đây."
"Enable Payflow Link","Cho phép liên kết Payflow"
"Enable Express Checkout","Cho phép thanh toán Express"
"Basic Settings - PayPal Payflow Link","Cài đặt cơ bản - liên kết PayPal Payflow"
"Website Payments Pro Hosted Solution","Trang web thanh toán giải pháp lưu trữ chuyên nghiệp"
"Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)"
"Payments Pro Hosted Solution","Giải pháp máy chủ Thanh toán chuyên nghiệp"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Basic Settings - PayPal Payments Pro Hosted Solution","Cài đặt cơ bản - các khoản thanh toán PayPal Pro giải pháp lưu trữ"
"Display Express Checkout in the Payment Information step","Hiển thị thanh toán Express trong bước thông tin thanh toán"
"Website Payments Pro Hosted Solution and Express Checkout","Trang web thanh toán giải pháp lưu trữ Pro và thanh toán Express"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Cài đặt cơ bản - trang web PayPal thanh toán giải pháp lưu trữ chuyên nghiệp"
"Payflow Pro","Payflow Pro"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)"
"Vault Enabled","Vault đã được bật"
"Basic Settings - PayPal Payflow Pro","Cài đặt cơ bản - PayPal Payflow Pro"
"Vault Title","Tiêu đề Vault"
"Credit Card Settings","Cài đặt thẻ tín dụng"
"Allowed Credit Card Types","Các loại thẻ tín dụng được cho phép"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Fraud Management Filters","Fraud Management Filters"
"Be sure to configure Fraud Management Filters in your PayPal account in ""Service Settings/Fraud Protection"" section. Attention! Please don't use Total Purchase Price Ceiling/Floor Filters. Current integration doesn't support them.","Be sure to configure Fraud Management Filters in your PayPal account in ""Service Settings/Fraud Protection"" section. Attention! Please don't use Total Purchase Price Ceiling/Floor Filters. Current integration doesn't support them."
"CVV and AVS Settings","CVV và cài đặt AVS"
"Reject Transaction if:","Từ chối giao dịch nếu:"
"AVS Street Does Not Match","AVS Street không phù hợp"
"AVS Zip Does Not Match","AVS Zip không phù hợp"
"Card Issuer Is Outside The United States","Card Issuer Is Outside The United States"
"Card Security Code Does Not Match","Mã bảo vệ thẻ không khớp"
"Payflow Pro and Express Checkout","Payflow Pro và thanh toán Express"
"PayPal Express Checkout Payflow Edition lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
<a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout Payflow Edition lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
<a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Your shopping cart has been updated with new prices.","Giỏ hàng của bạn đã được Cập Nhật với giá mới."
"We cannot load the configuration from file %1.","Chúng tôi không thể tải cấu hình từ tệp %1."
"Method ""%1"" is not defined in ""%2""","Phương pháp ""%1"" không được xác định trong ""%2"""
"&nbsp;","&nbsp;"
"Remember Me","Ghi nhớ tôi"
"What's this?","Đây là gì?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Kiểm tra &quot; ""Ghi Nhớ tôi""&quot; để truy cập vào giỏ hàng của bạn trên máy tính này ngay cả khi bạn không đăng nhập."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Kiểm tra 'ghi nhớ tôi' để truy cập vào giỏ hàng của bạn trên máy tính này ngay cả khi bạn không đăng nhập."
"Welcome, %1!","Chào mừng, %1!"
"Not you?","Không phải bạn?"
"Persistent Shopping Cart","Giữ nguyên giỏ hàng"
"General Options","Tùy chọn chung"
"Enable Persistence","Cho phép giữ nguyên"
"Persistence Lifetime (seconds)","Giữ suốt đời (giây)"
"Enable ""Remember Me""","Cho phép ""Ghi nhớ tôi"""
"""Remember Me"" Default Value","Giá trị mặc định ""Ghi nhớ tôi"""
"Clear Persistence on Sign Out","Giữ nguyên đăng xuất"
"Persist Shopping Cart","Giữ nguyên giỏ mua hàng"
"Persist Wish List","Giữ nguyên danh sách yêu thích"
"Persist Recently Ordered Items","Giữ nguyên sản phẩm đặt hàng gần đây"
"Persist Currently Compared Products","Giữ nguyên sản phẩm so sánh gần đây"
"Persist Comparison History","Giữ nguyên lịch sử so sánh"
"Persist Recently Viewed Products","Giữ nguyên sản phẩm xem gần đây"
"Persist Customer Group Membership and Segmentation","Giữ nguyên phân khúc vào nhóm khách hàng thành viên"
"Read Product Price","Đọc giá sản phẩm"
"Edit Product Price","Chỉnh sửa giá sản phẩm"
"Edit Product Status","Chỉnh sửa tình trạng sản phẩm"
"Default Product Price","Giá sản phẩm mặc định"
"Defines the default product price","Defines the default product price"
"You saved the alert subscription.","Bạn đã lưu các thuê bao thông báo."
"There are not enough parameters.","Không có đủ thông số."
"The alert subscription couldn't update at this time. Please try again later.","The alert subscription couldn't update at this time. Please try again later."
"Alert subscription has been saved.","Thông báo đăng ký đã được lưu."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"You deleted the alert subscription.","Bạn đã xoá đăng ký thông báo."
"You will no longer receive price alerts for this product.","Bạn sẽ không còn nhận được thông báo giá cho sản phẩm này."
"Unable to update the alert subscription.","Không thể Cập Nhật việc đăng ký thông báo."
"You will no longer receive stock alerts for this product.","Bạn sẽ không còn nhận được thông báo số lượng trong kho của sản phẩm này."
"The product was not found.","Sản phẩm không được tìm thấy."
"You will no longer receive stock alerts.","Bạn sẽ không còn nhận được cảnh báo trữ kho."
"Invalid block type: %1","Loại khối không hợp lệ: %1"
"Price change alert! We wanted you to know that prices have changed for these products:","Báo giá thay đổi! Chúng tôi muốn bạn biết rằng giá cả đã thay đổi đối với các sản phẩm này:"
"Price:","Giá:"
"Click here to stop alerts for this product.","Nhấn vào đây để ngăn chặn thông báo đối với sản phẩm này."
"Unsubscribe from all price alerts","Hủy đăng ký tất cả các cảnh báo giá"
"In stock alert! We wanted you to know that these products are now available:","Thông báo còn trong kho! Chúng tôi muốn bạn biết rằng các sản phẩm này đang có sẵn:"
"Unsubscribe from all stock alerts","Hủy đăng ký tất các thông báo lưu kho"
"Product alerts Cron error","Sản phẩm cảnh báo định kỳ lỗi"
"Product alerts cron warnings","Cảnh báo thông báo Sản phẩm định kỳ"
"Products price changed alert","Báo giá thay đổi sản phẩm"
"%name,","%name,"
"Products back in stock alert","Cảnh báo Sản phẩm có thêm hàng"
"Product Alerts","Sản phẩm cảnh báo"
"Allow Alert When Product Price Changes","Cho phép cảnh báo khi giá sản phẩm thay đổi"
"Allow Alert When Product Comes Back in Stock","Cho phép cảnh báo khi sản phẩm có hàng trở lại"
"Price Alert Email Template","Mẫu Email cảnh báo giá"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Mẫu Email được lựa chọn dựa trên chủ đề dự phòng khi tùy chọn ""Mặc định"" được chọn."
"Stock Alert Email Template","Mẫu email cảnh báo số lượng trong kho"
"Alert Email Sender","Cảnh báo người gửi Email"
"Product Alerts Run Settings","Chạy cài đặt Sản phẩm cảnh báo"
"Frequency","Tần Suất"
"Start Time","Thời Gian Bắt Đầu"
"Error Email Recipient","Lỗi Email người nhận"
"Error Email Sender","Lỗi Email người gửi"
"Error Email Template","Lỗi Email mẫu"
"Notify me when the price drops","Thông báo cho tôi khi giá giảm xuống"
"Notify me when this product is in stock","Thông báo cho tôi khi sản phẩm này có hàng"
"Url","Đường dẫn"
"Title","Tiêu đề"
"Description","Mô tả"
"Preview Image","Xem trước hình ảnh"
"Get Video Information","Nhận thông tin về Video"
"Hide from Product Page","Ẩn từ trang sản phẩm"
"Role","Quyền hạn"
"YouTube and Vimeo supported.","Hỗ trợ YouTube và Vimeo."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Hỗ trợ Vimeo. <br /> để thêm video trên YouTube, vui lòng <a href=""%1""> nhập Youtube API Key </a> đầu tiên."
"Protocol isn't allowed","Protocol isn't allowed"
"Disallowed file type.","Disallowed file type."
"The preview image information is unavailable. Check your connection and try again.","The preview image information is unavailable. Check your connection and try again."
"Add Video","Thêm Video"
"Browse to find or drag image here","Tìm hoặc kéo hình ảnh ở đây"
"Delete image in all store views","Delete image in all store views"
"Delete video","Xóa video"
"Delete image","Xóa hình ảnh"
"Hidden","ẩn"
"Alt Text","Văn bản thay thế"
"Image Size","Kích thước hình ảnh"
"{size}","{kích thước}"
"Image Resolution","Độ phân giải hình ảnh"
"{width}^{height} px","{width} ^{height} px"
"Title:","Tiêu đề:"
"Uploaded:","Đã tải lên:"
"Uploader:","Tải lên:"
"Duration:","Thời lượng:"
"Video Error","Lỗi video"
"Unknown video type","Loại video Không biết"
"Invalid video url","Video url không hợp lệ"
"Youtube API key is invalid","YouTube API key không hợp lệ"
"Video cant be shown due to the following reason: ","Video không thể hiển thị do lý do sau: "
"Video not found","Không tìm thấy Video"
"New Video","Video mới"
"Save","Lưu lại"
"Cancel","Hủy bỏ"
"Delete","Xóa bỏ"
"Edit Video","Chỉnh sửa Video"
"Images and Videos","Hình ảnh và video"
"Product Video","Sản phẩm Video"
"YouTube API Key","YouTube API key"
"Autostart base video","Tự khởi động cơ sở video"
"Show related video","Hiển thị video liên quan"
"Auto restart video","Tự động khởi động lại video"
"Images And Videos","Images And Videos"
"Images And Videos","Hình ảnh và video"
"Edit Catalog Price Rules","Chỉnh sửa danh mục giá quy định"
"Edit Cart Price Rules","Chỉnh sửa Cart Price Rules"
"Edit Automated Email Reminder Rules","Chỉnh sửa quy tắc tự động gửi email nhắc nhở"
"Quick Order","Quick Order"
"Page not found.","Không tìm thấy trang."
"There is no items to delete","There is no items to delete"
"Cannot update item list.","Cannot update item list."
"Entered list is empty.","Entered list is empty."
"You entered item(s) with an empty SKU.","You entered item(s) with an empty SKU."
"The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again.","The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"You should correct the quantity for the product.","You should correct the quantity for the product."
"The SKU is out of stock.","The SKU is out of stock."
"We don't have the quantity you requested.","We don't have the quantity you requested."
"The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload.","The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload."
"Add from File","Add from File"
"File must be in .csv format and include ""SKU"" and ""QTY"" columns","File must be in .csv format and include ""SKU"" and ""QTY"" columns"
"Choose File","Choose File"
"Enter Multiple SKUs","Enter Multiple SKUs"
"Use commas or paragraph to separate SKUs.","Use commas or paragraph to separate SKUs."
"Add to List","Add to List"
"Order by SKU","Order by SKU"
"Enter SKU or Product Name","Enter SKU or Product Name"
"Qty","Số lượng"
"Add to Cart","Thêm vào giỏ hàng"
"Remove Row","Remove Row"
" product(s) require(s) your attention."," product(s) require(s) your attention."
"Enable Quick Order","Enable Quick Order"
"Download Sample","Download Sample"
"The address failed to save. Verify the address and try again.","The address failed to save. Verify the address and try again."
"The product quantity should be greater than 0","The product quantity should be greater than 0"
"Could not find a product with SKU ""%sku""","Could not find a product with SKU ""%sku"""
"Wrong format of the entered option data","Wrong format of the entered option data"
"Required fields are not present: sku, quantity","Required fields are not present: sku, quantity"
"Required fields are not present EnteredOption.uid, EnteredOption.value","Required fields are not present EnteredOption.uid, EnteredOption.value"
"The ""%1"" Cart doesn't contain products.","The ""%1"" Cart doesn't contain products."
"Cart isn't assigned to correct store","Cart isn't assigned to correct store"
"'The coupon code couldn't be applied: ' .","'The coupon code couldn't be applied: ' ."
"The coupon code couldn't be applied. Verify the coupon code and try again.","The coupon code couldn't be applied. Verify the coupon code and try again."
"The coupon code isn't valid. Verify the code and try again.","The coupon code isn't valid. Verify the code and try again."
"The coupon code couldn't be deleted. Verify the coupon code and try again.","The coupon code couldn't be deleted. Verify the coupon code and try again."
"You don't have the correct permissions to assign the customer to the cart.","You don't have the correct permissions to assign the customer to the cart."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The requested Payment Method is not available.","Phương thức thanh toán được yêu cầu là không có sẵn."
"We found an invalid request for adding product to quote.","Chúng tôi tìm thấy một yêu cầu không hợp lệ cho việc thêm sản phẩm để báo giá."
"Product that you are trying to add is not available.","Sản phẩm bạn vừa thêm không có sẵn."
"This is the wrong quote item id to update configuration.","Đây là trích dẫn sai mã id sản phẩm để cập nhật cấu hình."
"This shipping method is not available. To use this shipping method, please contact us.","Phương pháp vận chuyển này không có sẵn. Để sử dụng phương pháp vận chuyển này, xin vui lòng liên hệ với chúng tôi."
"The address model is not defined.","Các mô hình địa chỉ không xác định."
"The address total model should be extended from
\Magento\Quote\Model\Quote\Address\Total\AbstractTotal.","Địa chỉ tất cả các mô hình nên được mở rộng từ \Magento\Quote\Model\Quote\Address\Total\AbstractTotal."
"Grand Total","Tổng số"
"Shipping & Handling (%1)","Vận chuyển & xử lý (%1)"
"Shipping & Handling","Vận chuyển & xử lý"
"Shipping","Vận chuyển"
"Subtotal","Tổng phụ"
"We found an invalid item option format.","Chúng tôi tìm thấy một tùy chọn định dạng sản phẩm không hợp lệ."
"An item option with code %1 already exists.","Một tùy chọn sản phẩm với mã %1 đã tồn tại."
"Item qty declaration error","Khai báo số lượng sản phẩm lỗi"
"Some of the products below do not have all the required options.","Một số sản phẩm dưới đây không có tất cả các tùy chọn yêu cầu."
"Something went wrong during the item options declaration.","Một cái gì đó đi sai trong tuyên ngôn lựa chọn sản phẩm."
"We found an item options declaration error.","Chúng tôi tìm thấy lỗi tuyên bố lựa chọn sản phẩm."
"Some of the selected options are not currently available.","Một số tùy chọn đã chọn hiện nay không có sẵn."
"Selected option(s) or their combination is not currently available.","Tùy chọn được chọn hoặc sự kết hợp đó không có sẵn."
"Some item options or their combination are not currently available.","Một số tùy chọn mục hoặc sự kết hợp của họ không có sẵn bây giờ."
"The %1 Cart doesn't contain the %2 item.","The %1 Cart doesn't contain the %2 item."
"The quote couldn't be saved.","The quote couldn't be saved."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The item couldn't be removed from the quote.","The item couldn't be removed from the quote."
"The qty value is required to update quote item.","Số lượng giá trị là bắt buộc để cập nhật sản phẩm báo giá."
"Minimum order amount is %1","Số lượng đặt hàng tối thiểu là %1"
"Invalid customer id %1","Id Khách hàng không hợp lệ %1"
"Invalid customer address id %1","địa chỉ id kKhách hàng không hợp lệ %1"
"Invalid address id %1","Địa chỉ id không hợp lệ %1"
"The quote can't be created.","The quote can't be created."
"The customer can't be assigned to the cart. The cart belongs to a different store.","The customer can't be assigned to the cart. The cart belongs to a different store."
"The customer can't be assigned to the cart because the cart isn't anonymous.","The customer can't be assigned to the cart because the cart isn't anonymous."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"Invalid state change requested","Invalid state change requested"
"Only 1 shipping assignment can be set","Chuyển nhượng chỉ có 1 vận chuyển có thể được thiết lập"
"This item price or quantity is not valid for checkout.","Giá hoặc số lượng sản phẩm này là không hợp lệ để thanh toán."
"Something went wrong. Please try to place the order again.","Something went wrong. Please try to place the order again."
"Store Credit","Tiền trong store"
"Discount","Chiết khấu"
"Tax","Thuế"
"The Cart includes virtual product(s) only, so a shipping address is not used.","The Cart includes virtual product(s) only, so a shipping address is not used."
"The shipping method can't be set. %1","The shipping method can't be set. %1"
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"Failed address validation:\n%1","Failed address validation:\n%1"
"Current customer does not have an active cart.","Current customer does not have an active cart."
"Entity Id does not exist","Entity Id does not exist"
"Carts","Giỏ hàng"
"Manage carts","Quản lý giỏ hàng"
"Some addresses can't be used due to the configurations for specific countries.","Some addresses can't be used due to the configurations for specific countries."
"Please check the shipping address information.","Please check the shipping address information."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Please check the billing address information.","Please check the billing address information."
"Enter a valid payment method and try again.","Enter a valid payment method and try again."
"Shopping cart error: %message","Shopping cart error: %message"
"Could not find a product with SKU ""%sku""","Could not find a product with SKU ""%sku"""
"Could not add the product with SKU %sku to the shopping cart: %message","Could not add the product with SKU %sku to the shopping cart: %message"
"Missing key ""sku"" in cart item data","Missing key ""sku"" in cart item data"
"Missing key ""qty"" in cart item data","Missing key ""qty"" in cart item data"
"Could not find a cart with ID ""%masked_cart_id""","Could not find a cart with ID ""%masked_cart_id"""
"Current user does not have an active cart.","Current user does not have an active cart."
"The current user cannot perform operations on cart ""%masked_cart_id""","The current user cannot perform operations on cart ""%masked_cart_id"""
"Could not find a cart address with ID ""%cart_address_id""","Could not find a cart address with ID ""%cart_address_id"""
"The current user cannot use cart address with ID ""%cart_address_id""","The current user cannot use cart address with ID ""%cart_address_id"""
"The billing address must contain either ""customer_address_id"" or ""address"".","The billing address must contain either ""customer_address_id"" or ""address""."
"The billing address cannot contain ""customer_address_id"" and ""address"" at the same time.","The billing address cannot contain ""customer_address_id"" and ""address"" at the same time."
"Using the ""use_for_shipping"" option with multishipping is not possible.","Using the ""use_for_shipping"" option with multishipping is not possible."
"You cannot specify multiple shipping addresses.","You cannot specify multiple shipping addresses."
"The shipping address must contain either ""customer_address_id"" or ""address"".","The shipping address must contain either ""customer_address_id"" or ""address""."
"The shipping address cannot contain ""customer_address_id"" and ""address"" at the same time.","The shipping address cannot contain ""customer_address_id"" and ""address"" at the same time."
"You cannot specify multiple shipping methods.","You cannot specify multiple shipping methods."
"Required parameter ""cart_address_id"" is missing.","Required parameter ""cart_address_id"" is missing."
"Required parameter ""carrier_code"" is missing.","Required parameter ""carrier_code"" is missing."
"Required parameter ""method_code"" is missing.","Required parameter ""method_code"" is missing."
"Option type ""%1"" is not supported","Option type ""%1"" is not supported"
"%1 doesn't implement CustomizableOptionValueInterface","%1 doesn't implement CustomizableOptionValueInterface"
"Required parameter ""cart_id"" is missing","Required parameter ""cart_id"" is missing"
"Required parameter ""cartItems"" is missing","Required parameter ""cartItems"" is missing"
"""model"" value should be specified","""model"" value should be specified"
"Required parameter ""coupon_code"" is missing","Required parameter ""coupon_code"" is missing"
"A coupon is already applied to the cart. Please remove it to apply another","A coupon is already applied to the cart. Please remove it to apply another"
"Missing key ""product"" in cart data","Missing key ""product"" in cart data"
"Missing key ""type_id"" in product data","Missing key ""type_id"" in product data"
"Product ""%product_type"" type is not supported","Product ""%product_type"" type is not supported"
"Required parameter ""cart_id"" is missing.","Required parameter ""cart_id"" is missing."
"Required parameter ""cart_item_id"" is missing.","Required parameter ""cart_item_id"" is missing."
"Required parameter ""billing_address"" is missing","Required parameter ""billing_address"" is missing"
"Required parameter ""payment_method"" is missing","Required parameter ""payment_method"" is missing"
"Required parameter ""shipping_addresses"" is missing","Required parameter ""shipping_addresses"" is missing"
"Required parameter ""shipping_methods"" is missing","Required parameter ""shipping_methods"" is missing"
"""model"" values should be specified","""model"" values should be specified"
"Required parameter ""cart_items"" is missing.","Required parameter ""cart_items"" is missing."
"Required parameter ""cart_item_id"" for ""cart_items"" is missing.","Required parameter ""cart_item_id"" for ""cart_items"" is missing."
"Required parameter ""quantity"" for ""cart_items"" is missing.","Required parameter ""quantity"" for ""cart_items"" is missing."
"Could not find cart item with id: %1.","Could not find cart item with id: %1."
"It is impossible to log user action","It is impossible to log user action"
"Error message","Error message"
"An error occurred while logging process.","An error occurred while logging process."
"Release Notification","Release Notification"
"Sorry, we had a problem loading our “What’s new” content.","Sorry, we had a problem loading our “What’s new” content."
"
<p>We’ll try to show it again the next time you sign in to Magento Admin.</p>
<p>To learn more about new features, see our latest Release Notes in
<a href=""https://devdocs.magento.com/magento-release-information.html""
target=""_blank"">DevDocs' Release Information</a>.
</p>","
<p>We’ll try to show it again the next time you sign in to Magento Admin.</p>
<p>To learn more about new features, see our latest Release Notes in
<a href=""https://devdocs.magento.com/magento-release-information.html""
target=""_blank"">DevDocs' Release Information</a>.
</p>"
"This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it.","Quy tắc này được gán cho %1 nhắc nhở tự động rule(s). Xoá quy tắc này tự động sẽ không được gán."
"Automated Email Marketing Reminder Rules","Quy tắc nhắc nhở gửi email tiếp thị tự động"
"Add New Rule","Thêm quy tắc mới"
"Are you sure you want to match this rule now?","Bạn có chắc bạn muốn để phù hợp với quy tắc này bây giờ?"
"No more than %1 customers may receive the reminder email after this action.","Không có nhiều hơn %1 khách có thể nhận được email nhắc nhở sau hành động này."
"Run Now","Chạy ngay bây giờ"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Edit Rule '%1'","Sửa quy tắc '%1'"
"New Rule","Quy tắc mới"
"Email Reminder Rule","Quy tắc Email nhắc nhở"
"Conditions","Điều kiện"
"You need to set at least one condition for this rule to work.","Bạn cần phải thiết lập ít nhất một điều kiện cho quy tắc này để làm việc."
"ID","ID"
"Email","Email"
"Matched At","Phù hợp tại"
"Thread Active","Chủ đề đang hoạt động"
"No","Không"
"Yes","Có"
"Coupon","Coupon"
"N/A","Không xác định"
"Coupon Use Limit","Giới hạn sử dụng phiếu mua hàng"
"Coupon Use Per Customer","Số lần Sử dụng phiếu giảm giá cho mỗi khách hàng"
"Emails Sent","Email Đã Gửi"
"Emails Failed","Email đã thất bại"
"Last Sent","Lần Gửi cuối"
"General Information","Thông tin chung"
"Reminder emails may promote a cart price rule with or without a coupon. If a cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","Email nhắc nhở có thể thúc đẩy quy tắc cart price với hoặc không với một phiếu giảm giá. Nếu quy tắc cart price xác định một phiếu mua hàng được tạo ra tự động, quy tắc nhắc nhở này sẽ tạo ra một mã số phiếu giảm giá ngẫu nhiên cho mỗi khách hàng."
"Rule Name","Tên quy tắc"
"Description","Mô tả"
"Cart Price Rule","Cart Price Rules"
"Promotion rule this reminder will advertise.","Chương trình khuyến mại quy tắc này nhắc nhở sẽ quảng cáo."
"Assigned to Website","Được gán cho trang web"
"Status","Trạng thái"
"Active","Kích hoạt"
"Inactive","Không hoạt động"
"From","Từ"
"To","Đến"
"Repeat Schedule","Lặp lại lịch trình"
"Enter the number of days until the email reminder rule is retriggered if conditions still match (Ex: Enter ""7, 14"" to trigger emails in 7 days, and then 14 days after that).","Nhập vào số lượng ngày cho đến khi các quy tắc email nhắc nhở hoạt động nếu điều kiện vẫn còn phù hợp (ví dụ: nhập ""7, 14"" để kích hoạt email trong 7 ngày, và sau đó 14 ngày sau đó)."
"Select Rule...","Chọn quy tắc..."
"Email Templates","Mẫu email"
